title,director,cast,release_year,listed_in
Golmaal Returns,Rohit Shetty,"Ajay Devgn, Kareena Kapoor, Arshad Warsi, Tusshar Kapoor, Shreyas Talpade, Celina Jaitly, Amrita Arora, Anjana Sukhani",2008,"Comedies, International Movies, Music & Musicals"
Ishq Vishk,Ken Ghosh,"Shahid Kapoor, Amrita Rao, Shenaz Treasury, Vishal Malhotra, Kapil Jhaveri, Shabhir, Deepti Gujral, Yash Tonk, Satish Shah, Neelima Azim",2003,"Comedies, International Movies, Music & Musicals"
Ishqiya,Abhishek Chaubey,"Naseeruddin Shah, Vidya Balan, Arshad Warsi, Salman Shahid, Anupama Kumar",2009,"Comedies, International Movies, Romantic Movies"
Jab We Met,Imtiaz Ali,"Shahid Kapoor, Kareena Kapoor, Tarun Arora, Dara Singh, Pavan Malhotra, Kamal Tiwari, Kiran Juneja, Divya Seth, Saumya Tandon",2007,"Comedies, International Movies, Music & Musicals"
Mann,Indra Kumar,"Aamir Khan, Manisha Koirala, Sharmila Tagore, Dipti Bhatnagar, Dalip Tahil, Anil Kapoor",1999,"Dramas, International Movies, Romantic Movies"
Manorama Six Feet Under,Navdeep Singh,"Abhay Deol, Gul Panag, Raima Sen, Sarika, Kulbhushan Kharbanda, Vinay Pathak, Yana Gupta, Jogi, Brijendra Kala, Nawazuddin Siddiqui",2007,"Dramas, International Movies, Thrillers"
Welcome,Anees Bazmee,"Akshay Kumar, Katrina Kaif, Nana Patekar, Anil Kapoor, Paresh Rawal, Mallika Sherawat, Feroz Khan, Ruslaan Mumtaz, Sunil Shetty, Malaika Arora, Asrani",2007,"Comedies, International Movies, Music & Musicals"
Time Out,Rikhil Bahadur,"Chirag Malhotra, Pranay Pachauri, Kaamya Sharma, Riya Kothari, Aditya Jain, Shiva Dawar, Sanya Arora, Tarana Marwah, Raunaq Chopra, Vedabrata Rao",2015,"Dramas, Independent Movies, International Movies"
My Mother's Wound,Ozan Açıktan,"Ozan Güven, Meryem Uzerli, Belçim Bilgin, Okan Yalabık, Bora Akkaş, Sabina Ajrula",2016,"Dramas, International Movies"
Zulu Man in Japan,,Nasty C,2019,"Documentaries, International Movies, Music & Musicals"
Real Steel,Shawn Levy,"Hugh Jackman, Dakota Goyo, Evangeline Lilly, Anthony Mackie, Kevin Durand, Hope Davis, James Rebhorn, Karl Yune, Olga Fonda, John Gatins",2011,"Action & Adventure, Sci-Fi & Fantasy, Sports Movies"
Enola Holmes,Harry Bradbeer,"Millie Bobby Brown, Henry Cavill, Sam Claflin, Helena Bonham Carter, Louis Partridge, Burn Gorman, Adeel Akhtar, Susan Wokoma, Frances de la Tour, Fiona Shaw",2020,"Action & Adventure, Children & Family Movies, Dramas"
Kiss the Ground,"Joshua Tickell, Rebecca Harrell Tickell",Woody Harrelson,2020,Documentaries
A Love Song for Latasha,Sophia Nahli Allison,,2020,Documentaries
DTC Yukemuri Junjo Hen From High & Low,Norihisa Hiranuma,"Kenjiro Yamashita, Kanta Sato, Taiki Sato, Masayasu Yagi, Kousei Amano, Miu Arai, Taro Suruga, Yuko Fueki, Tomoki Hirose, Ryo Matsuda, Masaru Mizuno, Shunsuke Tanaka, Fumihiko Tachiki, Eri Murakawa, Katsuya Kobayashi",2018,"Dramas, International Movies"
High & Low The Movie,Shigeaki Kubo,"Takanori Iwata, Akira, Sho Aoyagi, Hiroomi Tosaka, Takahiro, Yuki Yamada, Masataka Kubota, Kento Hayashi, Keiji Kuroki, Goki Maeda, Elly, Kenchi Tachibana, Tatsuya Nakamura, Kosuke Toyohara, Arata Iura, Kyoko Koizumi",2016,"Action & Adventure, International Movies"
High & Low The Movie 2 / End of Sky,"Shigeaki Kubo, Tsuyoshi Nakakuki","Takanori Iwata, Keiji Kuroki, Aoi Nakamura, Yuki Yamada, Masataka Kubota, Kento Hayashi, Naoto, Akira, Sho Aoyagi, Takahiro, Hiroomi Tosaka, Nobuyuki Suzuki, Keita Machida, Elly, Mandy Sekiguchi, Reo Sano, Masahiko Tsugawa",2017,"Action & Adventure, International Movies"
High & Low The Movie 3 / Final Mission,"Shigeaki Kubo, Tsuyoshi Nakakuki","Takanori Iwata, Akira, Masataka Kubota, Takahiro, Hiroomi Tosaka, Sho Aoyagi, Reo Sano, Koichi Iwaki, Goro Kishitani, Masahiko Tsugawa, Keiji Kuroki, Yuki Yamada, Kento Hayashi, Naoto, Elly, Mandy Sekiguchi",2017,"Action & Adventure, International Movies"
High & Low The Red Rain,Yudai Yamaguchi,"Takahiro, Hiroomi Tosaka, Takumi Saitoh, Miyu Yoshimoto, Ken Ishiguro, Takanori Iwata, Naoko Iijima, Koichi Iwaki, Nobuyuki Suzuki, Keita Machida, Kenjiro Yamashita, Kanta Sato, Taiki Sato, Noemi Nakai, Tatsuya Nakamura, Taichi Saotome",2016,"Action & Adventure, International Movies"
High & Low The Worst,Shigeaki Kubo,"Kazuma Kawamura, Jun Shison, Yuki Yamada, Hokuto Yoshino, Goki Maeda, Ryuji Sato, Fuju Kamio, Jin Shirasu, Yuta Nakatsuka, Hayato Komori, Akihisa Shiono, Yo Aoi, Shin Koyanagi, Atsushi Arai, Ryotaro Sakaguchi",2019,"Action & Adventure, International Movies"
Road To High & Low,Shigeaki Kubo,"Takanori Iwata, Nobuyuki Suzuki, Keita Machida, Akira, Sho Aoyagi, Keiji Kuroki, Yuki Yamada, Masataka Kubota, Kento Hayashi, Kenjiro Yamashita, Kanta Sato, Taiki Sato, Takahiro, Hiroomi Tosaka, Tatsuya Nakamura, Arata Iura",2016,"Action & Adventure, International Movies"
The Blue Elephant 2,Marwan Hamed,"Karim Abdel Aziz, Nelly Karim, Hend Sabry, Shereen Reda, Khaled El Sawy, Eyad Nassar, Tara Emad, Amgad Elsharqawy",2019,"Horror Movies, International Movies, Thrillers"
Bhaji In Problem,Smeep Kang,"Gippy Grewal, Gurpreet Guggi, Ragini Khanna, Om Puri, B.N. Sharma, Avtar Gill, Karamjit Anmol, Rana Jung Bahadur",2013,"Comedies, International Movies"
Black,Raja Chanda,"Soham Chakraborty, Bidya Sinha Mim, Ashish Vidyarthi, Rajatabha Dutta, Rudranil Ghosh, Kharaj Mukherjee",2015,"Action & Adventure, International Movies"
Saheb Biwi Aur Gangster Returns,Tigmanshu Dhulia,"Irrfan Khan, Jimmy Shergill, Soha Ali Khan, Mahie Gill, Raj Babbar, Deep Raj Rana, Rajiv Gupta, Sitaram Panchal, Rajesh Khera, Mugdha Godse",2013,"Dramas, International Movies, Romantic Movies"
Santa Banta Pvt Ltd,Akashdeep,"Boman Irani, Vir Das, Neha Dhupia, Lisa Haydon, Ram Kapoor, Johny Lever, Vijay Raaz, Tinnu Anand, Sanjay Mishra, Ayub Khan",2016,"Comedies, International Movies"
The Royal Bengal Tiger,Rajesh Ganguly,"Jeet, Abir Chatterjee, Priyanka Sarkar, Shradha Das, Kharaj Mukherjee, Shantilal Mukherjee, Barun Chanda, Deb Ranajan Nag, Rajesh Sharma",2014,"Dramas, International Movies, Thrillers"
Dolly Kitty Aur Woh Chamakte Sitare,Alankrita Shrivastava,"Bhumi Pednekar, Konkona Sen Sharma, Vikrant Massey, Amol Parashar, Aamir Bashir, Karan Kundra, Kalp Shah, Hearty Singh, Neelima Azim, Kubbra Sait",2020,"Dramas, Independent Movies, International Movies"
Whipped,Chandra Liow,"Andovi da Lopez, Jovial da Lopez, Chandra Liow, Tommy Limmm, Susan Sameh, Widika Sidmore, Kezia Aletheia, Karina Salim",2020,"Comedies, International Movies, Romantic Movies"
Anaamika,Sekhar Kammula,"Nayantara, Vaibhav Reddy, Pasupathy, Harshvardhan Rane, Thagubothu Ramesh, Vinay Varma, Dheer Charan Srivastav, D. Narsingh Rao",2014,"International Movies, Thrillers"
GIMS: On the Record,Florent Bodin,Maître Gims,2020,"Documentaries, International Movies, Music & Musicals"
Horrid Henry's Gross Day Out,Gary Andrews,"Lizzie Waterworth-Santo, Emma Tate, Sue Elliot Nicholls, Tamsin Heatley, Wayne Forester, Aidan Cook, Philip Pope",2020,"Children & Family Movies, Comedies"
Nee Enge En Anbe,Sekhar Kammula,"Nayantara, Vaibhav Reddy, Pasupathy, Harshvardhan Rane, Thagubothu Ramesh, Vinay Varma, Dheer Charan Srivastav, D. Narsingh Rao",2014,"International Movies, Thrillers"
Residue,Merawi Gerima,"Obinna Nwachukwu, Dennis Lindsey, Taline Stewart, Derron Scott, Jamal Graham, JaCari Dye, Julian Selman, Melody Tally, Ramon Thompson, Hasinatu Camara",2020,"Dramas, Independent Movies"
Dr Jason Leong Hashtag Blessed,Kubhaer T. Jethwani,Jason Leong,2018,Stand-Up Comedy
The Devil All The Time,Antonio Campos,"Tom Holland, Bill Skarsgård, Riley Keough, Robert Pattinson, Mia Wasikowska, Jason Clarke, Sebastian Stan, Haley Bennett, Harry Melling, Eliza Scanlen",2020,"Dramas, Thrillers"
The Paramedic,Carles Torras,"Mario Casas, Déborah François, Guillermo Pfening, María Rodríguez Soto, Celso Bugallo, Raúl Jiménez, Pol Monen, Alice Bocchi, Martín Bacigalupo",2020,"Dramas, International Movies, Thrillers"
The Take,James Watkins,"Idris Elba, Richard Madden, Charlotte Le Bon, Kelly Reilly, José Garcia, Vincent Londez, Arieh Worthalter, Mohamed Makhtoumi, Théo Costa-Marini, Jérôme Gaspard",2016,"Action & Adventure, International Movies"
Hope Frozen: A Quest to Live Twice,Pailin Wedel,,2020,"Documentaries, International Movies"
Michael McIntyre: Showman,Chris Howe,Michael McIntyre,2020,Stand-Up Comedy
Raising Victor Vargas,Peter Sollett,"Victor Rasuk, Judy Marte, Melonie Diaz, Altagracia Guzman, Silvestre Rasuk, Krystal Rodriguez, Kevin Rivera, Wilfree Vasquez, Donna Maldonado",2002,"Dramas, Independent Movies, Romantic Movies"
The Smurfs 2,Raja Gosnell,"Neil Patrick Harris, Brendan Gleeson, Jayma Mays, Hank Azaria, Katy Perry, Christina Ricci, Jonathan Winters, J.B. Smoove, George Lopez, Anton Yelchin, Fred Armisen, Jacob Tremblay, Alan Cumming",2013,"Children & Family Movies, Comedies"
Wish Upon a Unicorn,Steve Bencich,"Ryan Kiera Armstrong, Summer Fontana, Kevin J. O'Connor, Tait Blum, Jon Gries, Branscombe Richmond, Rick Overton, Jonathan Lajoie, Chloe Webb",2020,Children & Family Movies
Lara and the Beat,Tosin Coker,"Seyi Shay, Somkele Iyamah, Vector, Chioma Chukwuka Akpotha, Uche Jumbo, Sharon Ooja, Shaffy Bello, Saidi Balogun, Kemi Lala Akindoju, Ademola Adedoyin",2018,"Dramas, International Movies, Music & Musicals"
Dad Wanted,Javier Colinas,"Natalia Coronado, Juan Pablo Medina, Silvia Navarro, Roberto Quijano, Victoria Viera, Arantxa Servín, Aleyda Gallardo, Joaquín Emanuel, Abril Michel, Omar Fierro, Luis Ernesto Franco, Patricia Reyes Spíndola, Rodrigo Murray, Luis Arrieta, Alberto Guerra, Moisés Arizmendi, David Fridman, Martha Claudia Moreno, Ela Velden, Gonzalo García Vivanco, Mauricio Argüelles, César Rodríguez",2020,"Children & Family Movies, Comedies, Dramas"
How to Train Your Dragon 2,Dean DeBlois,"Jay Baruchel, Cate Blanchett, Gerard Butler, Craig Ferguson, America Ferrera, Jonah Hill, Christopher Mintz-Plasse, T.J. Miller, Kristen Wiig, Djimon Hounsou, Kit Harington",2014,Children & Family Movies
Pets United,Reinhard Klooss,"Patrick Roche, Natalie Dormer, Eddie Marsan, Felix Auer, Jeff Burrell, Harvey Friedman, Marty Sander, Ian Odle, Bryan Larkin",2020,"Children & Family Movies, Comedies"
Wonho Chung: Live in New York,Shaun Mir,Wonho Chung,2014,Stand-Up Comedy
Aapla Manus,Satish Rajwade,"Nana Patekar, Sumeet Raghvan, Iravati Harshe, Aashish Kulkarni, Savita Malpekar",2018,"Dramas, International Movies, Thrillers"
Ani... Dr. Kashinath Ghanekar,Abhijeet Deshpande,"Subodh Bhave, Vaidehi Parshurami, Nandita Patkar, Sonali Kulkarni, Sumeet Raghvan, Prasad Oak, Anand Ingale, Suhas Palshikar",2018,"Dramas, International Movies"
Bhai: Vyakti Ki Valli - Poorvardha,Mahesh Manjrekar,"Sagar Deshmukh, Vijay Kenkre, Iravati Harshe, Shubhangi Damle, Sachin Khedekar, Sunil Barve, Ashwini Giri, Rajan Bhise",2019,"Dramas, International Movies"
Bhai: Vyakti Ki Valli - Uttarardh,Mahesh Manjrekar,"Sagar Deshmukh, Iravati Harshe, Vijay Kenkre, Shubhangi Damle, Ashwini Giri, Nina Kulkarni, Dalip Tahil, Girish Kulkarni",2019,"Dramas, International Movies"
Cycle,Prakash Kunte,"Hrishikesh Joshi, Bhalchandra Kadam, Priyadarshan Jadhav, Deepti Lele, Manoj Kolhatkar, Maithili Patwardhan",2018,"Comedies, Dramas, International Movies"
Dhh,Manish Saini,"Naseeruddin Shah, Kahaan, Kuldeep Sodha",2017,"Children & Family Movies, Dramas, International Movies"
Kaagar,Makarand Mane,"Rinku Rajguru, Shubhankar Tawde, Shashank Shende, Suhas Palshikar, Bharati Patil, Milind Pathak, Umesh Jagtap, Shantanu Gangane, Vitthal Kale, Mahesh Bhosale",2019,"Dramas, International Movies, Romantic Movies"
Night of Knots,Hakan Algül,"Şahin Irmak, İrem Sak, Gonca Vuslateri, Emre Karayel, Duygu Yetiş, Onur Buldu, Salih Kalyon, Bilge Şen, Nilgün Belgün, Hakan Akın",2018,"Comedies, International Movies, Romantic Movies"
PhotoCopy,Vijay Maurya,"Parna Pethe, Chetan Chitnis, Anshuman Joshi, Aashay Kulkarni, Vandana Gupte, Girish Oak",2016,"Comedies, Dramas, International Movies"
Poshter Girl,Sameer Patil,"Sonalee Kulkarni, Hrishikesh Joshi, Jitendra Joshi, Aniket Vishwasrao, Hemant Dhome, Sandeep Pathak, Siddharth Menon, Akshay Tanksale, Vaibhav Mangale, Anand Ingale",2016,"Comedies, Dramas, International Movies"
Satria Heroes: Revenge of the Darkness,"Kenzo Maihara, Amandha Wyanto","Christian Loho, Fernando Surya, Yayan Ruhian, Stella Cornelia, Yui Takano, Safira Ratu, Faris Fadjar Munggaran, Adhitya Alkatiri",2017,Children & Family Movies
Son Of Adam,Ahmed Nader Galal,"Youssef El Sherif, Dina El-Sherbiny, Ahmad Rizq, Hana El Zahed, Mahmoud El Gendy, Bayyumi Fuad, Khaled Kamal, Mahmoud El-Bazzawy",2018,"Dramas, International Movies, Thrillers"
The Babysitter: Killer Queen,McG,"Judah Lewis, Jenna Ortega, Emily Alyn Lind, Andrew Bachelor, Robbie Amell, Bella Thorne, Hana Mae Lee, Ken Marino, Leslie Bibb, Chris Wylde, Carl McDowell",2020,"Comedies, Horror Movies"
Cargo,Arati Kadav,"Vikrant Massey, Shweta Tripathi, Nandu Madhav, Konkona Sen Sharma, Biswapati Sarkar, Ritwik Bhaumik, Prabal Panjabi, Hansal Mehta",2020,"Comedies, Dramas, Independent Movies"
Cuties,Maïmouna Doucouré,"Fathia Youssouf, Médina El Aidi-Azouni, Esther Gohourou, Ilanah Cami-Goursolas, Myriam Hamma, Maïmouna Gueye, Mbissine Thérèse Diop, Demba Diaw, Mamadou Samaké",2020,"Dramas, International Movies"
So Much Love to Give,Marcos Carnevale,"Adrián Suar, Soledad Villamil, Gabriela Toscano, Alan Sabbagh, Darío Barassi, Magela Zanotta, Betiana Blum",2020,"Comedies, International Movies, Music & Musicals"
The Social Dilemma,Jeff Orlowski,"Skyler Gisondo, Kara Hayward, Vincent Kartheiser",2020,Documentaries
#Alive,Cho Il,"Yoo Ah-in, Park Shin-hye",2020,"Horror Movies, International Movies, Thrillers"
My Octopus Teacher,"Pippa Ehrlich, James Reed",,2020,"Children & Family Movies, Documentaries, International Movies"
Toll Booth,Tolga Karaçelik,"Büşra Pekin, Nur Aysan, Ruhi Sarı, Nergis Öztürk, Nadir Sarıbacak, Serkan Ercan, Sermet Yeşil, Enes Mazak, Zafer Diper",2010,"Dramas, Independent Movies, International Movies"
"Waiting for ""Superman""",Davis Guggenheim,,2010,Documentaries
Villain,Philip Barantini,"Craig Fairbrass, George Russo, Robert Glenister, Izuka Hoyle, Mark Monero, Tomi May, Eloise Lovell Anderson, Taz Skylar, Nicholas Aaron",2020,Dramas
I'm Thinking of Ending Things,Charlie Kaufman,"Jessie Buckley, Jesse Plemons, Toni Collette, David Thewlis, Guy Boyd",2020,"Dramas, Independent Movies"
Kandasamys: The Wedding,Jayan Moodley,"Jailoshini Naidoo, Maeshni Naicker, Madhushan Singh, Mishqah Parthiephal, Yugan Naidoo, Koobeshan Naidoo, Mariam Bassa, Rushil Juglall, Tesarnia Oree",2019,"Comedies, Dramas, International Movies"
The Lost Okoroshi,Abba T. Makama,"Seun Ajayi, Judith Audu, Tope Tedela, Ifu Ennada, Chiwetalu Agu, Demi Banwo, Ibrahim Jammal, Micheal Ajotubu, Ozzy Agu, Cristabel Goddy",2019,"Comedies, Dramas, Independent Movies"
You're My Boss,Antoinette Jadaone,"Toni Gonzaga, Coco Martin, Freddie Webb, JM de Guzman, Gloria Sevilla, Noel Trinidad, Adam Chan, Pepe Herrera, Jerald Napoles",2015,"Comedies, International Movies, Romantic Movies"
Afonso Padilha: Classless,"Junior Carelli, Rudge Campos",Afonso Padilha,2020,Stand-Up Comedy
Ave Maryam,Ertanto Robby Soediskam,"Maudy Koesnaedi, Chicco Jerikho, Tutie Kirana, Olga Lydia, Joko Anwar, Nathania Angela Widjaja, Sendy Febrina, Suhartini, Atie Krisnawati, Ratnawati Sutandar, Ninik Winarni Utomo",2018,"Dramas, Independent Movies, International Movies"
"Love, Guaranteed",Mark Steven Johnson,"Rachael Leigh Cook, Damon Wayans Jr., Heather Graham, Caitlin Howden, Brendan Taylor, Sebastian Billingsley-Rodriguez, Sean Amsing, Lisa Durupt, Alvin Sanders, Jed Rees, Kandyse McClure",2020,"Comedies, Independent Movies, Romantic Movies"
Freaks – You're One of Us,Felix Binder,"Cornelia Gröschel, Tim Oliver Schultz, Wotan Wilke Möhring, Nina Kunzendorf, Frederic Linkemann, Finnlay Berger, Gisa Flake, Ralph Herforth, Thelma Buabeng",2020,"Dramas, Independent Movies, International Movies"
Hotel for Dogs,Thor Freudenthal,"Emma Roberts, Jake T. Austin, Kyla Pratt, Lisa Kudrow, Kevin Dillon, Don Cheadle, Johnny Simmons, Troy Gentile, Eric Edelstein, Robinne Lee, Ajay Naidu",2009,"Children & Family Movies, Comedies"
Sky Tour: The Movie,Nguyen Thanh Tung,Son Tung M-TP,2020,"Documentaries, International Movies, Music & Musicals"
Adrift,Baltasar Kormákur,"Shailene Woodley, Sam Claflin, Jeffrey Thomas, Elizabeth Hawthorne",2018,"Action & Adventure, Dramas, Romantic Movies"
Always Be My Maybe,Dan Villegas,"Gerald Anderson, Arci Muñoz, Cacai Bautista, Ricci Chan, Tirso Cruz III, Carlo Aquino, Matt Evans, Ahron Villena, Victor Silayan, TJ Trinidad",2016,"International Movies, Romantic Movies"
Barbie Princess Adventure,Conrad Helten,"America Young, Erica Lindbeck, Ritesh Rajan, Dave Fennoy, Stephanie Sheh, Cristina Milizia, Desirae Whitfield, Emma Galvin, Angelo Restaino, Eamon Brennan, Ogie Banks",2020,"Children & Family Movies, Music & Musicals"
Children of the Sea,Ayumu Watanabe,"Mana Ashida, Hiiro Ishibashi, Seishu Uragami, Win Morisaki, Goro Inagaki, Yu Aoi, Toru Watanabe, Min Tanaka, Sumiko Fuji",2019,"Anime Features, International Movies"
Fate/Grand Order -First Order-,Hitoshi Namba,"Nobunaga Shimazaki, Rie Takahashi, Ayako Kawasumi, Madoka Yonezawa, Kenichi Suzumura, Tomokazu Sugita",2016,"Action & Adventure, Anime Features, International Movies"
Puss in Boots,Chris Miller,"Antonio Banderas, Salma Hayek, Zach Galifianakis, Billy Bob Thornton, Amy Sedaris, Constance Marie, Guillermo del Toro, Mike Mitchell",2011,"Children & Family Movies, Comedies"
Sex Drive,Sean Anders,"Josh Zuckerman, Amanda Crew, Clark Duke, Seth Green, James Marsden, Michael Cudlitz, Dave Sheridan, Alice Greczyn, Katrina Bowden, Charlie McDermott, Mark L. Young",2008,Comedies
Soldier,Abbas Mustan,"Rakhee Gulzar, Bobby Deol, Preity Zinta",1998,"Comedies, Dramas, International Movies"
"Take the Ball, Pass the Ball",Duncan McMath,"Thierry Henry, Michael Carnick, Javier Mascherano, Fabio Capello, Jordi Cruyff, Andrés Iniesta, Xavi Hernández, Lionel Messi, Victor Valdes, Leo Messi",2018,"Documentaries, International Movies, Sports Movies"
The Boss Baby: Get That Baby!,"Dan Forgione, Pete Jacobs, Matt Whitlock","JP Karliak, Pierce Gagnon, Alex Cazares, Kevin Michael Richardson, Flula Borg, Rhys Darby, Wendie Malick, Jake Green",2020,"Children & Family Movies, Comedies"
The Match,Francesco Carnesecchi,"Francesco Pannofino, Alberto Di Stasio, Gabriele Fiore, Giorgio Colangeli, Fabrizio Sabatucci, Veruska Rossi, Giulia Cragnotti, Siria Simeoni, Lidia Vitale, Daniele Mariani",2020,"Dramas, International Movies, Sports Movies"
The Smurfs,Raja Gosnell,"Hank Azaria, Neil Patrick Harris, Jayma Mays, Sofía Vergara, Tim Gunn, Jonathan Winters, Katy Perry, Alan Cumming, Fred Armisen, George Lopez, Anton Yelchin, Kenan Thompson, Jeff Foxworthy, John Oliver, Wolfgang Puck, B.J. Novak, Paul Reubens",2011,"Children & Family Movies, Comedies"
True: Friendship Day,"Mark Thornton, Todd Kauffman","Michela Luci, Jamie Watson, Eric Peterson, Anna Claire Bartlam, Nicolas Aqui, Cory Doran, Julie Lemieux, Derek McGrath",2020,Children & Family Movies
Maniyarayile Ashokan,Shamzu Zayba,"Jacob Gregory, S.V. Krishna Shankar, Shine Tom Chacko, Vijayaraghavan, Sri Lakshmi, Anupama Parameswaran, Dulquer Salmaan, Nazriya Fahad",2020,"Comedies, International Movies, Romantic Movies"
The Debt Collector 2,Jesse V. Johnson,"Scott Adkins, Louis Mandylor, Vladimir Kulich, Marina Sirtis, Ski Carr, Charity Collins, Mayling Ng, Josef Cannon, Jermaine Jacox, Vernon Wells",2020,Action & Adventure
All Together Now,Brett Haley,"Auli'i Cravalho, Justina Machado, Rhenzy Feliz, Fred Armisen, Carol Burnett, Judy Reyes, Taylor Richardson, C.S. Lee, Anthony Jacques",2020,Dramas
Santana,"Chris Roland, Maradona Dias Dos Santos","Paulo Americano, Raul Rosario, Rapulana Seiphemo, David O'Hara, Hakeem Kae-Kazim, Neide Vieira, Cigano Satyohamba, Nompilo Gwala",2020,"Action & Adventure, International Movies"
Unknown Origins,David Galán Galindo,"Javier Rey, Verónica Echegui, Brays Efe, Antonio Resines, Álex García, Carlos Areces, Ernesto Alterio, Leonardo Sbaraglia",2020,"International Movies, Thrillers"
Edge of Seventeen,David Moreton,"Chris Stafford, Tina Holmes, Andersen Gabrych, Stephanie McVay, Lea DeLaria, John Eby, Antonio Carriero, Jason Lockhart",1998,"Comedies, Dramas, Independent Movies"
The Bridge Curse,Lester Hsi,"JC Lin, Vera Yen, Summer Meng, Ning Chang, Ruby Zhan, Hsieh Yi-hung, Cheng Ko",2020,"Horror Movies, International Movies, Thrillers"
